Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
17 1990  7.13188e+06 264117 363434 152969 134927 152969 152969 134927 152969 0.570671 0
17 1991  7.50161e+06 243974 349122 126467 106297 126467 126467 106297 126467 0.38855 0
17 1992  8.97137e+06 239719 331449 108738 111198 108738 108738 111198 108738 0.430632 0
17 1993  8.49941e+06 219591 312044 116871 116381 116871 116871 116381 116871 0.502313 0
17 1994  7.81448e+06 215844 315014 101628 109056 101628 101628 109056 101628 0.467002 0
17 1995  5.5371e+06 218909 314705 106220 92903.6 106220 106220 92903.6 106220 0.379956 0
17 1996  4.624e+06 201422 273879 76090.3 76543.8 76090.3 76090.3 76543.8 76090.3 0.342557 0
17 1997  6.25696e+06 183571 243097 61474.6 62828.6 61474.6 61474.6 62828.6 61474.6 0.303609 0
17 1998  1.0413e+07 158831 226776 47404.6 49104.9 47404.6 47404.6 49104.9 47404.6 0.265956 0
17 1999  1.21995e+07 153666 245558 60836.3 63577.3 60836.3 60836.3 63577.3 60836.3 0.347168 0
17 2000  1.00538e+07 189019 340385 63907.5 69868.6 63907.5 63907.5 69868.6 63907.5 0.288525 0
17 2001  8.74978e+06 215253 329718 45177.2 49745.1 45177.2 45177.2 49745.1 45177.2 0.185878 0
17 2002  3.7816e+06 208154 278477 46411.9 42660.9 46411.9 46411.9 42660.9 46411.9 0.178698 0
17 2003  4.01639e+06 199897 236351 45645.6 49387.5 45645.6 45645.6 49387.5 45645.6 0.261705 0
17 2004  4.75821e+06 161198 200600 33564.4 34009.3 33564.4 33564.4 34009.3 33564.4 0.204424 0
17 2005  4.99095e+06 141148 189356 28873.3 27937.7 28873.3 28873.3 27937.7 28873.3 0.187961 0
17 2006  4.04029e+06 127667 178488 36746.2 35009.2 36746.2 36746.2 35009.2 36746.2 0.245317 0
17 2007  6.66005e+06 117356 150845 26968 26149 26968 26968 26149 26968 0.225107 0
17 2008  6.12082e+06 124287 175302 28250.7 26538.9 28250.7 28250.7 26538.9 28250.7 0.213079 0
17 2009  5.81768e+06 137052 181903 28361.9 26390.1 28361.9 28361.9 26390.1 28361.9 0.191307 0
17 2010  6.74069e+06 179856 230341 34440.7 34370.2 34440.7 34440.7 34370.2 34440.7 0.189006 0
17 2011  4.00962e+06 174072 230317 30673.4 30292.8 30673.4 30673.4 30292.8 30673.4 0.169368 0
17 2012  3.10954e+06 186375 221334 30223.7 34135.8 30223.7 30223.7 34135.8 30223.7 0.181394 0
17 2013  5.60995e+06 174865 202453 26639.4 27518.5 26639.4 26639.4 27518.5 26639.4 0.153465 0
17 2014  5.69063e+06 170385 223651 28373.1 27659.9 28373.1 28373.1 27659.9 28373.1 0.15841 0
17 2015  5.3848e+06 176536 230237 36255 34800.7 36255 36255 34800.7 36255 0.199915 0
17 2016  6.46642e+06 185831 236513 33370.8 32929.8 33370.8 33370.8 32929.8 33370.8 0.181035 0
17 2017  4.23803e+06 198688 241292 29347.8 29501.2 29347.8 29347.8 29501.2 29347.8 0.146067 0
17 2018  5.67682e+06 205954 247945 28437.9 28222.1 28437.9 28437.9 28222.1 28437.9 0.135129 0
17 2019  1.19747e+07 214507 265673 30510.3 30437.4 30510.3 30510.3 30437.4 30510.3 0.139859 0
17 2020  9.60863e+06 275368 382922 34996.4 33432.2 34996.4 34996.4 33432.2 34996.4 0.118332 0
17 2021  2.97594e+06 346822 456396 33193.3 31633.4 33193.3 33193.3 31633.4 33193.3 0.0919322 0
