

Observed catches

Species:  



         2     14623     53345     36165     27315     41274     24143     32019     57391
         3     17450     15714     36788     24442     26023     39669     29992     21520
         4     19683     10220      9129     18432     17040     17364     19892     12296
         5     11351     14163      7813      4176      6786      7151      6596      8836
         6      8838      9376     10355      7649      3490      5054      3129      4318

Yield          28373     36255     33371     29348     28438     30510     34996     33193
Species:  



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    665110     51796    171400    119506    281785    844410    374573    645352
         1   1283252   2276937    192030    263702    223294    261156    439674    116229
         2    187149    673960   1127520    109480    130963    220200    374310    430149
         3    342628     62175    225532    426291     31141     45487     80225    180553
         4     60523    112242     11538     45756    144703      7978     11364     17044
         5      1956     17691     32677      4984     11791     38097      2040      2225
         6      1795      1078      5864      6757      1582      3069     11143       497
         7     22380       718       228      1608      2322       377       827      3320
         8       345      6168        84       163       740       629       143       164
         9        57       339      1863        40       122       181       168        78
        10        78        89        72       469       325       126       147        69

Yield         396271    494728    402849    240340    146706    149064    202451    226485


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    275508    513034     95862    127002     45703     10249     16679     19587
         1    217834    148158    483045    161400    137091    253236     33092     51743
         2     89989    222772    139887    441785    144075    259369    424014     43162
         3    390347     83199    143821     80605    328016     56407     96795    216359
         4     49835    166812     29321     41508     29497     92705     17161     21015
         5      4275     20055     56077      7082     10595      6214     27728      4189
         6       820      2365      6238     18393      1686      3993      2030      7671
         7       551       338       967      1929      4421      1187       874       763
         8      1072       255       127       296       581      2596       368       285
         9        60       385        84        56       156       462      1076       170
        10        40       123       211       183       161       213       159       552

Yield         256108    253230    247089    247098    223727    194995    179974    127719


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0     19286    128703    277933    136841     89104    200150    167032     36954
         1     82571    188087    166550    302610     91674    336460     46797    162449
         2     78881    101425    255051    269220    339428    119210    505401    107657
         3     17811     24822     43257    123469    106673    182969     73987    251339
         4     60888      4706      7162     11822     35056     33802     66245     18037
         5      4373     17618      1486      1986      3381      9237     11159     18288
         6      1104      1388      6376       669       601       898      4058      2762
         7      1839       684       611      2050       366       161      1080       937
         8       254      1024       337       215       746       155        75       121
         9       100       171       401       210       132       151        72        16
        10        85        91       180       280       115        39        58        33

Yield          86748     97264    135185    180218    169436    168928    204683    170009


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0     21919     90634     12630      3518     50927      7082      3758      8779
         1     88387     69455    397390     95086     36063     13136     25698     17695
         2    224037    119094    110381    633162     99685     15234     24627     24596
         3     60861    110046     61263     34548    372036     48729      8958     15085
         4    128348     28510     33137     12078      7812    127241     38784      5446
         5      7110     45221      7254      5573      2801      2166     97827     27745
         6      4590      2700      9935      2094      1615       786      1010     61457
         7       850      2047       765      1611       729       339       248       371
         8       263       438       367       257       603       144        82       132
         9        60        53        53        89       283       100        42        38
        10        23        17        18        35        38        55        50        23

Yield         161929    123489    126823    173366    155333     74350     72513     64115


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0      3229      2046      2550     27313      2508      5024      1377      1303
         1    122537     20565     25087     11967     49728      4342      3879     12258
