ParName   Value   Gradient
log_rec(18,2001)    -0.951852    0.0442215
log_rec(18,2002)    -0.800653    0.0554542
log_rec(18,2003)     -1.01756    0.0126866
log_rec(18,2004)     -1.17374    -0.048206
log_rec(18,2005)     0.836413     0.181182
log_rec(18,2006)    -0.683937  -0.00380901
log_rec(18,2007)     -1.03646    0.0101039
log_rec(18,2008)     -1.32025   -0.0344721
log_rec(18,2009)     0.664142    0.0874189
log_rec(18,2010)     -1.58291     0.105844
log_rec(18,2011)     -2.32959     0.161222
log_rec(18,2012)     -1.54671    0.0744487
log_rec(18,2013)     -1.73041    0.0407118
log_rec(18,2014)     0.408437     0.136635
log_rec(18,2015)     -1.06225     0.119684
log_rec(18,2016)    -0.607666      0.06701
log_rec(18,2017)     -1.35124    0.0412498
log_rec(18,2018)    -0.479058    -0.040795
log_rec(18,2019)      1.04676    0.0751071
log_rec(18,2020)       0.9809    0.0117174
log_rec(18,2021)    -0.311285    0.0175825
log_rec(18,2022)     0.303714    0.0091929
log_rec(19,1974)  -0.00497554     0.174691
log_rec(19,1975)    -0.578134   -0.0280145
log_rec(19,1976)    -0.313913   -0.0566585
log_rec(19,1977)    -0.464684     0.138533
log_rec(19,1978)     0.404132    0.0140336
log_rec(19,1979)     0.095555    -0.158977
log_rec(19,1980)    0.0205887   -0.0586927
log_rec(19,1981)    -0.158179   -0.0709597
log_rec(19,1982)    0.0468193    0.0594473
log_rec(19,1983)     0.796401   -0.0393278
log_rec(19,1984)     0.150356   -0.0760945
log_rec(19,1985)    0.0520926     0.138199
log_rec(19,1986)    -0.485835     0.223903
log_rec(19,1987)     -0.54407    0.0657948
log_rec(19,1988)    -0.337014     0.224479
log_rec(19,1989)    -0.481173    0.0165451
log_rec(19,1990)    -0.324706    -0.022549
log_rec(19,1991)     -0.53172     0.179128
log_rec(19,1992)     0.534117   -0.0865389
log_rec(19,1993)    -0.325372    0.0242673
log_rec(19,1994)    0.0816481   -0.0125928
log_rec(19,1995)    -0.695336   -0.0695475
log_rec(19,1996)   -0.0102148     0.122431
log_rec(19,1997)    -0.630901    -0.167533
log_rec(19,1998)     0.174875    0.0759164
log_rec(19,1999)     0.198147    0.0279479
log_rec(19,2000)    -0.115784     0.151602
log_rec(19,2001)     -0.41899    0.0267904
log_rec(19,2002)    0.0651904   -0.0678039
log_rec(19,2003)    -0.769198    0.0142122
log_rec(19,2004)    -0.578282   -0.0298678
log_rec(19,2005)    -0.932203      0.13422
log_rec(19,2006)    -0.922982     0.166259
log_rec(19,2007)    -0.342816     0.107742
log_rec(19,2008)    -0.984744    -0.192045
log_rec(19,2009)    -0.563159   -0.0157582
log_rec(19,2010)    -0.614704     0.104881
log_rec(19,2011)    -0.913753     0.156313
log_rec(19,2012)    -0.745808      0.26182
log_rec(19,2013)    -0.308101    0.0749093
log_rec(19,2014)    -0.359366    -0.134986
log_rec(19,2015)    -0.892887     0.207022
log_rec(19,2016)     -1.00034   0.00744204
log_rec(19,2017)     -1.11444   -0.0385903
log_rec(19,2018)    -0.947007    0.0816632
log_rec(19,2019)    -0.588791   -0.0448829
log_rec(19,2020)    -0.411794   0.00587074
log_rec(19,2021)    -0.411734    0.0140753
log_rec(19,2022)    -0.411786   0.00687971
log_rec(20,1974)    -0.152886    0.0585163
log_rec(20,1975)    -0.215038  -0.00526895
log_rec(20,1976)    -0.618189    0.0524584
log_rec(20,1977)     -1.98299     0.105087
log_rec(20,1978)    -0.784332    -0.181321
log_rec(20,1979)    -0.158755     0.088686
log_rec(20,1980)   -0.0454093     0.107928
log_rec(20,1981)     0.160058    0.0948426
log_rec(20,1982)     -1.15481    0.0967062
log_rec(20,1983)       -1.479   -0.0746417
log_rec(20,1984)     0.115652    0.0276357
log_rec(20,1985)    -0.664182    0.0402453
log_rec(20,1986)    -0.496519     0.173817
log_rec(20,1987)    -0.142246    -0.164689
log_rec(20,1988)    -0.577602    -0.069114
log_rec(20,1989)    -0.308617    0.0161058
log_rec(20,1990)    -0.600488     0.259639
log_rec(20,1991)    -0.511073    -0.140996
log_rec(20,1992)    -0.316572   -0.0474354
log_rec(20,1993)    -0.201338 -0.000892055
log_rec(20,1994)    -0.374485     0.140652
log_rec(20,1995)    -0.479305    -0.170758
log_rec(20,1996)    -0.489856     0.446151
log_rec(20,1997)    -0.689782    -0.115252
log_rec(20,1998)    -0.666873   -0.0263269
log_rec(20,1999)     -0.53637   -0.0591598
log_rec(20,2000)     -1.04534    -0.259617
log_rec(20,2001)     -0.27168    -0.114305
log_rec(20,2002)    0.0328834      0.11422
log_rec(20,2003)    -0.426169     -0.26643
log_rec(20,2004)     -0.10803     0.117224
log_rec(20,2005)      0.37438    -0.171887
log_rec(20,2006)     0.550843    0.0551022
log_rec(20,2007)      0.40628    0.0206383
log_rec(20,2008)     0.398469     0.125088
log_rec(20,2009)     0.298329     0.172861
log_rec(20,2010)     0.672463   -0.0310943
log_rec(20,2011)     0.645921    0.0108046
log_rec(20,2012)     0.174201    -0.043673
log_rec(20,2013)   -0.0748953  -0.00580535
log_rec(20,2014)    0.0853427   -0.0942396
log_rec(20,2015)    -0.713135   -0.0339513
log_rec(20,2016)    -0.113277     0.152126
log_rec(20,2017)    -0.485211    0.0573093
log_rec(20,2018)    -0.625602    0.0448183
log_rec(20,2019)     -0.11706   0.00345059
log_rec(20,2020)    0.0133794  -0.00999827
log_rec(20,2021)    -0.656083    0.0129356
log_rec(20,2022)    -0.298906    0.0104944
log_rec(21,1974)    -0.718069    0.0740541
